date,max_temp,min_temp,precipitation,avg_temp,temp_range
2026-03-13,25.8,15.3,0.2,20.55,10.5
2026-03-14,26.4,15.4,0.7,20.9,10.999999999999998
2026-03-15,23.8,13.9,4.8,18.85,9.9
2026-03-16,25.6,11.8,0.3,18.700000000000003,13.8
2026-03-17,25.8,12.8,0.0,19.3,13.0
2026-03-18,26.1,12.9,0.0,19.5,13.200000000000001
2026-03-19,26.9,12.3,0.0,19.6,14.599999999999998
2026-03-20,24.9,13.6,5.0,19.25,11.299999999999999
